index,timestamp,x,y,Hit_AOIs,Problem_id,Trackloss,Participant
0,0.0012000000476746209,339,528,,1_NSCC_L,no,WPI3_17337599t288p70
1,0.4074000000953788,1366,1043,,1_NSCC_L,no,WPI3_17337599t288p70
2,0.9005000000000223,441,837,,1_NSCC_L,no,WPI3_17337599t288p70
3,1.3492000000476878,1045,676,,1_NSCC_L,no,WPI3_17337599t288p70
4,1.7595000000000027,1670,879,,1_NSCC_L,no,WPI3_17337599t288p70
5,2.3009999999999877,716,83,"Question,HOSide,HOO",1_NSCC_L,no,WPI3_17337599t288p70
6,2.9012000000477087,1405,402,"Question,LOSide",1_NSCC_L,no,WPI3_17337599t288p70
7,3.367999999999995,227,1096,,1_NSCC_L,missing,WPI3_17337599t288p70
8,3.7057000000476705,-28,823,,1_NSCC_L,missing,WPI3_17337599t288p70
9,4.684200000047667,1170,867,,1_NSCC_L,no,WPI3_17337599t288p70
10,5.4514000000953615,452,884,,1_NSCC_L,no,WPI3_17337599t288p70
11,6.0554000000953465,370,732,,1_NSCC_L,no,WPI3_17337599t288p70
12,6.3455000000000155,110,1083,,1_NSCC_L,missing,WPI3_17337599t288p70
,timestamp,x,y,Hit_AOIs,Problem_id,Trackloss,Participant
0,0.0003999999761390427,110,1083,,12_NSNC_R,missing,WPI3_17337599t288p70
1,0.3337999999523049,579,381,"Question,LOSide",12_NSNC_R,no,WPI3_17337599t288p70
2,0.9116000000238387,1067,-49,,12_NSNC_R,missing,WPI3_17337599t288p70
3,1.4651999999284726,1104,77,"Question,HOSide,HOO",12_NSNC_R,no,WPI3_17337599t288p70
4,2.3283999999761704,2097,1319,,12_NSNC_R,missing,WPI3_17337599t288p70
5,2.642399999976135,866,460,"Question,LOSide,LOO",12_NSNC_R,no,WPI3_17337599t288p70
6,3.5583999999761318,2271,853,,12_NSNC_R,missing,WPI3_17337599t288p70
7,4.072399999976142,2028,794,,12_NSNC_R,missing,WPI3_17337599t288p70
8,4.400899999976161,1712,426,,12_NSNC_R,no,WPI3_17337599t288p70
9,4.798199999928443,1555,763,,12_NSNC_R,no,WPI3_17337599t288p70
10,5.412399999976174,1345,869,,12_NSNC_R,no,WPI3_17337599t288p70
11,6.201999999999998,-154,1370,,12_NSNC_R,missing,WPI3_17337599t288p70
12,6.5651999999284385,1405,278,"Question,HOSide",12_NSNC_R,no,WPI3_17337599t288p70
13,6.886799999952302,-293,1621,,12_NSNC_R,missing,WPI3_17337599t288p70
14,7.361399999976129,-207,1220,,12_NSNC_R,missing,WPI3_17337599t288p70
15,8.0647999999523,305,1332,,12_NSNC_R,missing,WPI3_17337599t288p70
16,8.923999999999978,271,1118,,12_NSNC_R,missing,WPI3_17337599t288p70
17,9.49019999992845,1866,898,,12_NSNC_R,no,WPI3_17337599t288p70
18,9.967199999928482,908,739,,12_NSNC_R,no,WPI3_17337599t288p70
,timestamp,x,y,Hit_AOIs,Problem_id,Trackloss,Participant
0,0.0003999999761390427,908,739,,5_CSCC_L,no,WPI3_17337599t288p70
1,1.1019999999999754,1726,958,,5_CSCC_L,no,WPI3_17337599t288p70
2,2.1317999999523067,1410,970,,5_CSCC_L,no,WPI3_17337599t288p70
3,3.2667999999522976,1696,1033,,5_CSCC_L,no,WPI3_17337599t288p70
4,3.8116999999284644,1427,769,,5_CSCC_L,no,WPI3_17337599t288p70
5,4.624399999976163,1169,1720,,5_CSCC_L,missing,WPI3_17337599t288p70
6,5.332799999952329,436,1323,,5_CSCC_L,missing,WPI3_17337599t288p70
,timestamp,x,y,Hit_AOIs,Problem_id,Trackloss,Participant
0,0.0003000000715474016,436,1323,,4_CSIC_L,missing,WPI3_17337599t288p70
1,0.3835000000000264,1072,818,,4_CSIC_L,no,WPI3_17337599t288p70
2,0.694100000023866,1079,667,,4_CSIC_L,no,WPI3_17337599t288p70
3,1.3729999999999905,1082,64,"Question,LOSide,LOO",4_CSIC_L,no,WPI3_17337599t288p70
4,1.7023000000715456,1344,-433,,4_CSIC_L,missing,WPI3_17337599t288p70
5,2.6443999999761445,506,-222,,4_CSIC_L,missing,WPI3_17337599t288p70
6,2.9359999999999786,1003,1019,,4_CSIC_L,no,WPI3_17337599t288p70
7,3.4423000000715547,1256,893,,4_CSIC_L,no,WPI3_17337599t288p70
8,3.8966000000238523,853,639,,4_CSIC_L,no,WPI3_17337599t288p70
9,4.448200000047677,1071,803,,4_CSIC_L,no,WPI3_17337599t288p70
10,4.786700000047688,1242,468,"Question,LOSide,LOO",4_CSIC_L,no,WPI3_17337599t288p70
11,5.200500000000034,794,763,,4_CSIC_L,no,WPI3_17337599t288p70
12,5.5566000000238205,394,1603,,4_CSIC_L,missing,WPI3_17337599t288p70
13,6.006000000000029,703,1285,,4_CSIC_L,missing,WPI3_17337599t288p70
14,6.91510000002387,781,1359,,4_CSIC_L,missing,WPI3_17337599t288p70
15,7.383300000071529,1063,536,"Question,LOSide,LOO",4_CSIC_L,no,WPI3_17337599t288p70
16,7.814899999976149,1131,696,,4_CSIC_L,no,WPI3_17337599t288p70
17,8.493200000047693,1685,591,,4_CSIC_L,no,WPI3_17337599t288p70
18,9.365899999976136,1447,88,"Question,LOSide",4_CSIC_L,no,WPI3_17337599t288p70
19,10.136899999976151,767,1444,,4_CSIC_L,missing,WPI3_17337599t288p70
20,10.63089999997618,1144,865,,4_CSIC_L,no,WPI3_17337599t288p70
21,11.293399999976145,1178,1174,,4_CSIC_L,missing,WPI3_17337599t288p70
22,11.557100000023866,1677,652,,4_CSIC_L,no,WPI3_17337599t288p70
,timestamp,x,y,Hit_AOIs,Problem_id,Trackloss,Participant
0,0.0003000000715474016,1677,652,,15_CSCC_R,no,WPI3_17337599t288p70
1,0.3320000000000505,736,473,"Question,LOSide,LOO",15_CSCC_R,no,WPI3_17337599t288p70
2,0.9857000000477001,639,654,,15_CSCC_R,no,WPI3_17337599t288p70
3,1.4383000000715356,947,1109,,15_CSCC_R,missing,WPI3_17337599t288p70
4,1.9850000000000136,1643,489,,15_CSCC_R,no,WPI3_17337599t288p70
5,2.4731000000238623,1787,691,,15_CSCC_R,no,WPI3_17337599t288p70
6,2.83630000007156,1293,857,,15_CSCC_R,no,WPI3_17337599t288p70
7,3.368399999976191,274,1771,,15_CSCC_R,missing,WPI3_17337599t288p70
