"","pid","age","handedness","bid","BOXED.rcs.overall","FLANKER.rcs.overall","BRT.rt_mean.correct","BRT.rt_mean.correct.dominant","BRT.rt_mean.correct.nondominant","BACKWARDSSPATIALSPAN.object_count_span.overall","inhibition","wm"
"1","wpi31726232712u94e4",18,"RIGHT","wpi31726232712u94e4.session0",0.954907161803714,2.00215616818112,296.833333333333,282.4,311.266666666667,6,"Average","Low"
"2","wpi3172626625ps4717",19,"RIGHT","wpi3172626625ps4717.session0",0.997474747474747,1.68158068584469,318.8,325.466666666667,312.133333333333,6,"Low","Low"
"3","wpi31726e22d9385259",19,"LEFT","wpi31726e22d9385259.session0",1.22299992473847,2.02055697092155,277.769230769231,273.230769230769,282.307692307692,8,"Average","Average"
"4","wpi317d26k247126090",20,"RIGHT","wpi317d26k247126090.session0",1.10365398956003,1.84270656740621,314.5,325.6,303.4,8,"Average","Average"
"5","wpi31728q4153194o63",18,"RIGHT","wpi31728q4153194o63.session0",1.02874145353254,2.1913190054783,282.793103448276,283.333333333333,282.214285714286,9,"Average","High"
"6","wpi317267968y60z431",21,"RIGHT","wpi317267968y60z431.session0",1.00737397751541,1.76852033798389,300.066666666667,293.466666666667,306.666666666667,7,"Average","Average"
"7","wpi31726101m69o4147",20,"RIGHT","wpi31726101m69o4147.session0",1.2496638562412,2.2766078542971,280.6,262.266666666667,298.933333333333,7,"Average","Average"
"9","wpi3pf1726083661580",21,"RIGHT","wpi3pf1726083661580.session0",1.4167172637118,2.32516544446432,391.1,361.133333333333,421.066666666667,7,"Average","Average"
"10","wpi3j172v6090848366",36,"RIGHT","wpi3j172v6090848366.session0",1.30508626083847,2.03466465712133,263.833333333333,259.933333333333,267.733333333333,7,"Average","Average"
"11","wpi317260908131rg02",23,"RIGHT","wpi317260908131rg02.session0",1.0966326925558,2.29399889888053,296.709677419355,270.142857142857,318.588235294118,6,"Average","Low"
"12","wpi3173047339k17v58",19,"RIGHT","wpi3173047339k17v58.session0",1.25464045098309,2.36707938820102,272.035714285714,267.666666666667,277.076923076923,8,"High","Average"
"13","wpi317r260913860u89",21,"RIGHT","wpi317r260913860u89.session0",1.18951246509937,2.25375626043406,334.586206896552,321.266666666667,348.857142857143,7,"Average","Average"
"14","wpi3172z609y1394122",22,"RIGHT","wpi3172z609y1394122.session0",1.30434782608696,2.10526315789474,280.5,257.733333333333,303.266666666667,6,"Average","Low"
"15","wpi31726lg255892316",19,"RIGHT","wpi31726lg255892316.session0",1.06107550613302,2.58243941199841,243.259259259259,230.583333333333,253.4,7,"High","Average"
"16","wpi3172v60918i15228",21,"RIGHT","wpi3172v60918i15228.session0",0.945850082761882,1.90556849460089,362.172413793103,335.6,390.642857142857,7,"Average","Average"
"17","wpi317fz27817412137",18,"RIGHT","wpi317fz27817412137.session0",1.04997900041999,1.80923433203068,295.1,273.4,316.8,7,"Average","Average"
"18","wpi317260916jq52858",26,"RIGHT","wpi317260916jq52858.session0",0.936745057437263,1.87036903819869,319.5,313.466666666667,325.533333333333,7,"Average","Average"
"20","wpi317b2769p3554604",20,"LEFT","wpi317b2769p3554604.session0",0.824584938402274,1.95623822634401,292.166666666667,281,303.333333333333,6,"Average","Low"
"21","wpi3172607h07554f66",19,"RIGHT","wpi3172607h07554f66.session0",1.15092457607611,1.88693486300853,291.071428571429,301.153846153846,282.333333333333,6,"Average","Low"
"22","wpi31a72849t2867197",18,"RIGHT","wpi31a72849t2867197.session0",1.38024987900407,1.88235294117647,287.344827586207,278.5,295.6,8,"Average","Average"
"23","wpi3172771m38y19382",19,"RIGHT","wpi3172771m38y19382.session0",1.16626076218571,1.87509014856483,252.166666666667,228.866666666667,275.466666666667,6,"Average","Low"
"24","wpi31727411001m2j16",18,"RIGHT","wpi31727411001m2j16.session0",0.848711449576218,1.56416192204217,336.466666666667,329.733333333333,343.2,7,"Low","Average"
"25","wpi3g17a26157102114",18,"RIGHT","wpi3g17a26157102114.session0",1.05169269273267,1.98792519511118,285.107142857143,271.428571428571,298.785714285714,6,"Average","Low"
"26","wpi31f72615w9243785",19,"RIGHT","wpi31f72615w9243785.session0",1.04532218323005,2.19547893966499,239.533333333333,231.133333333333,247.933333333333,7,"Average","Average"
"28","wpi31726164a2x17277",20,"RIGHT","wpi31726164a2x17277.session0",1.3668144461773,2.08550573514077,278.266666666667,251.066666666667,305.466666666667,7,"Average","Average"
"29","wpi317c28236117y670",20,"RIGHT","wpi317c28236117y670.session0",1.42589118198874,2.17461340206186,258.4,232.266666666667,284.533333333333,7,"Average","Average"
"30","wpi31727886g187w667",21,"RIGHT","wpi31727886g187w667.session0",1.22695204662418,1.58247879478415,333.285714285714,314.142857142857,352.428571428571,5,"Low","Low"
"31","wpi31mr727904493436",21,"LEFT","wpi31mr727904493436.session0",0.891607742127227,1.89486981542564,267.266666666667,253.333333333333,281.2,6,"Average","Low"
"32","wpi317338d795604q53",19,"RIGHT","wpi317338d795604q53.session0",1.23611304253774,2.03606748109366,289.366666666667,283.2,295.533333333333,8,"Average","Average"
"33","wpi317r27i913234962",20,"RIGHT","wpi317r27i913234962.session0",1.53016026415398,2.20059246720271,302.333333333333,298,306.666666666667,6,"Average","Low"
"34","wpi3172804d3288r960",19,"LEFT","wpi3172804d3288r960.session0",1.32533600666066,2.07717504194296,277.2,267.666666666667,286.733333333333,7,"Average","Average"
"35","wpi317y28349310y123",18,"RIGHT","wpi317y28349310y123.session0",0.681578189497936,1.23102174805088,500.586206896552,453.714285714286,544.333333333333,7,"Low","Average"
"36","wpi31728350vw892173",18,"RIGHT","wpi31728350vw892173.session0",0.860733344809778,1.29228781095675,492.481481481482,493.307692307692,491.714285714286,6,"Low","Low"
"37","wpi31728354q41e2264",18,"RIGHT","wpi31728354q41e2264.session0",0.740847447163172,1.04703608247423,498.433333333333,525.666666666667,471.2,7,"Low","Average"
"38","wpi3l172r6318006716",20,"RIGHT","wpi3l172r6318006716.session0",0.952925481227368,1.50560419338649,405.533333333333,391.066666666667,420,7,"Low","Average"
"39","wpi3172649rv8916449",19,"RIGHT","wpi3172649rv8916449.session0",1.0797940085276,1.84404636459431,362.962962962963,328.5,400.076923076923,7,"Average","Average"
"40","wpi3l1z728059670253",20,"RIGHT","wpi3l1z728059670253.session0",1.26534435442788,2.35130192458417,271.033333333333,265.466666666667,276.6,6,"High","Low"
"41","wpi3172852o33n06907",20,"RIGHT","wpi3172852o33n06907.session0",1.23613415308546,2.03873598369011,289.172413793103,288.285714285714,290,7,"Average","Average"
"42","wpi317g2632f5360053",20,"RIGHT","wpi317g2632f5360053.session0",1.12971924950002,2.12378640776699,309.966666666667,313.266666666667,306.666666666667,8,"Average","Average"
"43","wpi3172694xk1971360",19,"RIGHT","wpi3172694xk1971360.session0",1.17145260122552,2.10475188213389,288.433333333333,274.533333333333,302.333333333333,7,"Average","Average"
"44","wpi317a26598735x061",18,"RIGHT","wpi317a26598735x061.session0",1.50357356182159,2.37812128418549,249.448275862069,248.928571428571,249.933333333333,9,"High","High"
"45","wpi3172838877y18g70",19,"RIGHT","wpi3172838877y18g70.session0",1.21336409467658,2.07485436118426,305.566666666667,286.666666666667,324.466666666667,9,"Average","High"
"46","wpi317l333w66791027",18,"RIGHT","wpi317l333w66791027.session0",1.12132112015611,1.24794089751909,352.333333333333,358.083333333333,347.733333333333,6,"Low","Low"
"47","wpi317v2838p9801781",18,"RIGHT","wpi317v2838p9801781.session0",1.00976609597299,2.16992154899015,251.733333333333,245.533333333333,257.933333333333,7,"Average","Average"
"48","wpi3g17t27787793368",19,"RIGHT","wpi3g17t27787793368.session0",1.20969693059565,2.63388937664618,251.862068965517,256.8,246.571428571429,7,"High","Average"
"49","wpi317267805g915b58",21,"RIGHT","wpi317267805g915b58.session0",1.19968008531058,1.51523654526068,280.566666666667,292.133333333333,269,7,"Low","Average"
